Date,High,Low,Open,Close,Volume,Adj Close
2020-08-03,31.6299991607666,30.31999969482422,30.600000381469727,30.989999771118164,5945700.0,30.989999771118164
2020-08-04,32.720001220703125,30.690000534057617,30.75,31.950000762939453,7200200.0,31.950000762939453
2020-08-05,34.720001220703125,32.7400016784668,34.29999923706055,32.959999084472656,7894700.0,32.959999084472656
2020-08-06,33.70000076293945,32.630001068115234,33.599998474121094,32.779998779296875,5992400.0,32.779998779296875
2020-08-07,32.209999084472656,31.510000228881836,32.150001525878906,32.060001373291016,5880800.0,32.060001373291016
2020-08-10,33.08000183105469,32.279998779296875,32.689998626708984,32.650001525878906,6066100.0,32.650001525878906
2020-08-11,33.689998626708984,31.959999084472656,33.540000915527344,32.0,7765300.0,32.0
2020-08-12,33.849998474121094,32.959999084472656,33.29999923706055,33.41999816894531,7574700.0,33.41999816894531
2020-08-13,33.70000076293945,32.869998931884766,33.349998474121094,33.16999816894531,4271700.0,33.16999816894531
2020-08-14,33.220001220703125,32.40999984741211,32.84000015258789,33.04999923706055,5257800.0,33.04999923706055
2020-08-17,34.11000061035156,32.810001373291016,32.88999938964844,33.93000030517578,5414900.0,33.93000030517578
2020-08-18,34.09000015258789,33.150001525878906,33.189998626708984,33.63999938964844,4576700.0,33.63999938964844
2020-08-19,34.04999923706055,33.220001220703125,33.54999923706055,33.7400016784668,4887600.0,33.7400016784668
2020-08-20,33.540000915527344,31.809999465942383,32.349998474121094,33.41999816894531,9635900.0,33.41999816894531
2020-08-21,32.810001373291016,31.5,32.290000915527344,32.599998474121094,11397800.0,32.599998474121094
2020-08-24,33.45000076293945,32.79999923706055,32.9900016784668,33.060001373291016,4887000.0,33.060001373291016
2020-08-25,34.459999084472656,33.59000015258789,34.369998931884766,34.27000045776367,5883200.0,34.27000045776367
2020-08-26,34.81999969482422,34.06999969482422,34.56999969482422,34.33000183105469,3904800.0,34.33000183105469
2020-08-27,34.20000076293945,32.880001068115234,34.20000076293945,33.68000030517578,7489200.0,33.68000030517578
2020-08-28,34.029998779296875,33.400001525878906,33.79999923706055,33.86000061035156,3306700.0,33.86000061035156
2020-08-31,34.20000076293945,33.09000015258789,34.16999816894531,33.40999984741211,6501200.0,33.40999984741211
2020-09-01,34.27000045776367,33.459999084472656,33.63999938964844,33.68000030517578,5458400.0,33.68000030517578
2020-09-02,33.599998474121094,31.5,33.58000183105469,32.0,9756000.0,32.0
2020-09-03,31.8799991607666,30.34000015258789,30.579999923706055,31.6200008392334,6786400.0,31.6200008392334
2020-09-04,31.219999313354492,29.079999923706055,31.139999389648438,29.270000457763672,8637400.0,29.270000457763672
2020-09-08,26.15999984741211,24.780000686645508,26.0,25.739999771118164,13460900.0,25.739999771118164
2020-09-09,27.469999313354492,25.610000610351562,25.8700008392334,26.90999984741211,7318100.0,26.90999984741211
2020-09-10,27.049999237060547,25.670000076293945,26.59000015258789,25.770000457763672,6868900.0,25.770000457763672
2020-09-11,26.639999389648438,25.6299991607666,26.0,26.219999313354492,4261900.0,26.219999313354492
2020-09-14,26.18000030517578,25.360000610351562,25.670000076293945,25.969999313354492,4491000.0,25.969999313354492
2020-09-15,27.469999313354492,26.049999237060547,26.280000686645508,27.100000381469727,6299600.0,27.100000381469727
2020-09-16,29.610000610351562,28.190000534057617,28.440000534057617,29.3799991607666,5560200.0,29.3799991607666
2020-09-17,30.549999237060547,28.809999465942383,29.030000686645508,30.260000228881836,4629500.0,30.260000228881836
2020-09-18,30.6200008392334,29.579999923706055,30.18000030517578,29.889999389648438,3427700.0,29.889999389648438
2020-09-21,29.3799991607666,27.260000228881836,29.190000534057617,28.40999984741211,5902800.0,28.40999984741211
2020-09-22,28.829999923706055,27.549999237060547,28.530000686645508,28.219999313354492,3752400.0,28.219999313354492
2020-09-23,29.3799991607666,27.8700008392334,28.5,27.920000076293945,5495300.0,27.920000076293945
2020-09-24,28.979999542236328,28.1299991607666,28.459999084472656,28.790000915527344,3713200.0,28.790000915527344
2020-09-25,28.860000610351562,28.18000030517578,28.450000762939453,28.489999771118164,2605100.0,28.489999771118164
2020-09-28,29.440000534057617,28.3799991607666,28.760000228881836,29.110000610351562,3306000.0,29.110000610351562
2020-09-29,28.469999313354492,26.520000457763672,28.43000030517578,27.25,6584100.0,27.25
2020-09-30,28.84000015258789,27.65999984741211,27.780000686645508,28.450000762939453,4425400.0,28.450000762939453
2020-10-01,27.649999618530273,25.6299991607666,27.440000534057617,27.0,8677500.0,27.0
2020-10-02,25.920000076293945,24.510000228881836,24.760000228881836,24.950000762939453,9953600.0,24.950000762939453
2020-10-05,28.0,26.799999237060547,27.049999237060547,27.6200008392334,8211300.0,27.6200008392334
2020-10-06,29.280000686645508,28.18000030517578,28.889999389648438,28.360000610351562,5707500.0,28.360000610351562
2020-10-07,28.329999923706055,27.440000534057617,27.959999084472656,28.290000915527344,4510100.0,28.290000915527344
2020-10-08,29.649999618530273,28.889999389648438,29.389999389648438,29.549999237060547,5252800.0,29.549999237060547
2020-10-09,29.739999771118164,28.5,29.329999923706055,28.739999771118164,3980700.0,28.739999771118164
2020-10-12,28.219999313354492,27.0,28.209999084472656,27.65999984741211,4642100.0,27.65999984741211
2020-10-13,28.559999465942383,27.950000762939453,28.299999237060547,28.290000915527344,3079100.0,28.290000915527344
2020-10-14,29.270000457763672,28.829999923706055,29.020000457763672,29.1200008392334,3453300.0,29.1200008392334
2020-10-15,29.049999237060547,27.389999389648438,27.520000457763672,29.010000228881836,4616700.0,29.010000228881836
2020-10-16,28.899999618530273,27.940000534057617,28.40999984741211,28.700000762939453,2945400.0,28.700000762939453
2020-10-19,29.15999984741211,28.40999984741211,28.889999389648438,28.479999542236328,3201400.0,28.479999542236328
2020-10-20,29.700000762939453,28.219999313354492,28.25,29.260000228881836,3496200.0,29.260000228881836
2020-10-21,28.75,27.15999984741211,28.479999542236328,27.440000534057617,6082500.0,27.440000534057617
2020-10-22,28.6200008392334,27.790000915527344,27.84000015258789,28.149999618530273,3420100.0,28.149999618530273
2020-10-23,28.260000228881836,26.860000610351562,28.229999542236328,27.040000915527344,4680200.0,27.040000915527344
2020-10-26,26.309999465942383,25.399999618530273,26.110000610351562,25.670000076293945,6022200.0,25.670000076293945
2020-10-27,27.139999389648438,25.90999984741211,26.059999465942383,26.670000076293945,4304400.0,26.670000076293945
2020-10-28,24.729999542236328,23.889999389648438,24.459999084472656,24.3799991607666,8132100.0,24.3799991607666
2020-10-29,23.299999237060547,21.729999542236328,22.020000457763672,23.09000015258789,7530600.0,23.09000015258789
